,Unnamed: 0,Name,A1,A2,B,X1,X2,X3,X4,A1 NumberofProtons,A1 NumberofNeutrons,A1 NumberofShells,A1 SpecificHeat,A1 Density,A1 Ion Radius,A1 FirstIonization,A1 AtomicMass,A1 MeltingPoint,A2 NumberofProtons,A2 NumberofNeutrons,A2 NumberofShells,A2 SpecificHeat,A2 Density,A2 Ion Radius,A2 FirstIonization,A2 AtomicMass,A2 MeltingPoint,B NumberofProtons,B NumberofNeutrons,B NumberofShells,B SpecificHeat,B Density,B Ion Radius,B FirstIonization,B AtomicMass,B MeltingPoint,X1 NumberofProtons,X1 NumberofNeutrons,X1 NumberofShells,X1 SpecificHeat,X1 Density,X1 Ion Radius,X1 FirstIonization,X1 AtomicMass,X1 MeltingPoint,X2 NumberofProtons,X2 NumberofNeutrons,X2 NumberofShells,X2 SpecificHeat,X2 Density,X2 Ion Radius,X2 FirstIonization,X2 AtomicMass,X2 MeltingPoint,X3 NumberofProtons,X3 NumberofNeutrons,X3 NumberofShells,X3 SpecificHeat,X3 Density,X3 Ion Radius,X3 FirstIonization,X3 AtomicMass,X3 MeltingPoint,X4 NumberofProtons,X4 NumberofNeutrons,X4 NumberofShells,X4 SpecificHeat,X4 Density,X4 Ion Radius,X4 FirstIonization,X4 AtomicMass,X4 MeltingPoint
0,0,Li2GeBr2FCl,Li,Li,Ge,F,Cl,Br,Br,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05
1,1,Li2GeI2FCl,Li,Li,Ge,F,Cl,I,I,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65
2,2,Li2GeCl2FBr,Li,Li,Ge,F,Br,Cl,Cl,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31
3,3,Li2GeI2FBr,Li,Li,Ge,F,Br,I,I,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65
4,4,Li2GeCl2FI,Li,Li,Ge,F,I,Cl,Cl,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31
5,5,Li2GeBr2FI,Li,Li,Ge,F,I,Br,Br,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05
6,6,Li2GeBr2ClF,Li,Li,Ge,Cl,F,Br,Br,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05
7,7,Li2GeI2ClF,Li,Li,Ge,Cl,F,I,I,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65
8,8,Li2GeF2ClBr,Li,Li,Ge,Cl,Br,F,F,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63,9,10,2,0.824,0.0017,133.0,17.4228,18.998,53.63
9,9,Li2GeI2ClBr,Li,Li,Ge,Cl,Br,I,I,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,3,4,2,3.582,0.534,76.0,5.3917,6.941,453.85,32,41,4,0.32,5.32,53.0,7.8994,72.64,1211.45,17,18,3,0.479,0.00321,181.0,12.9676,35.453,172.31,35,45,4,0.474,3.12,196.0,11.8138,79.904,266.05,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65,53,74,5,0.214,4.93,220.0,10.4513,126.904,386.65
