,Name,A1,A2,B,X1,X2,X3,X4
0,Li2GeBr2FCl,Li,Li,Ge,F,Cl,Br,Br
1,Li2GeI2FCl,Li,Li,Ge,F,Cl,I,I
2,Li2GeCl2FBr,Li,Li,Ge,F,Br,Cl,Cl
3,Li2GeI2FBr,Li,Li,Ge,F,Br,I,I
4,Li2GeCl2FI,Li,Li,Ge,F,I,Cl,Cl
5,Li2GeBr2FI,Li,Li,Ge,F,I,Br,Br
6,Li2GeBr2ClF,Li,Li,Ge,Cl,F,Br,Br
7,Li2GeI2ClF,Li,Li,Ge,Cl,F,I,I
8,Li2GeF2ClBr,Li,Li,Ge,Cl,Br,F,F
9,Li2GeI2ClBr,Li,Li,Ge,Cl,Br,I,I
10,Li2GeF2ClI,Li,Li,Ge,Cl,I,F,F
11,Li2GeBr2ClI,Li,Li,Ge,Cl,I,Br,Br
12,Li2GeCl2BrF,Li,Li,Ge,Br,F,Cl,Cl
13,Li2GeI2BrF,Li,Li,Ge,Br,F,I,I
14,Li2GeF2BrCl,Li,Li,Ge,Br,Cl,F,F
15,Li2GeI2BrCl,Li,Li,Ge,Br,Cl,I,I
16,Li2GeF2BrI,Li,Li,Ge,Br,I,F,F
17,Li2GeCl2BrI,Li,Li,Ge,Br,I,Cl,Cl
18,Li2GeCl2IF,Li,Li,Ge,I,F,Cl,Cl
19,Li2GeBr2IF,Li,Li,Ge,I,F,Br,Br
20,Li2GeF2ICl,Li,Li,Ge,I,Cl,F,F
21,Li2GeBr2ICl,Li,Li,Ge,I,Cl,Br,Br
22,Li2GeF2IBr,Li,Li,Ge,I,Br,F,F
23,Li2GeCl2IBr,Li,Li,Ge,I,Br,Cl,Cl
24,Li2SnBr2FCl,Li,Li,Sn,F,Cl,Br,Br
25,Li2SnI2FCl,Li,Li,Sn,F,Cl,I,I
26,Li2SnCl2FBr,Li,Li,Sn,F,Br,Cl,Cl
27,Li2SnI2FBr,Li,Li,Sn,F,Br,I,I
28,Li2SnCl2FI,Li,Li,Sn,F,I,Cl,Cl
29,Li2SnBr2FI,Li,Li,Sn,F,I,Br,Br
30,Li2SnBr2ClF,Li,Li,Sn,Cl,F,Br,Br
31,Li2SnI2ClF,Li,Li,Sn,Cl,F,I,I
32,Li2SnF2ClBr,Li,Li,Sn,Cl,Br,F,F
33,Li2SnI2ClBr,Li,Li,Sn,Cl,Br,I,I
34,Li2SnF2ClI,Li,Li,Sn,Cl,I,F,F
35,Li2SnBr2ClI,Li,Li,Sn,Cl,I,Br,Br
36,Li2SnCl2BrF,Li,Li,Sn,Br,F,Cl,Cl
37,Li2SnI2BrF,Li,Li,Sn,Br,F,I,I
38,Li2SnF2BrCl,Li,Li,Sn,Br,Cl,F,F
39,Li2SnI2BrCl,Li,Li,Sn,Br,Cl,I,I
40,Li2SnF2BrI,Li,Li,Sn,Br,I,F,F
41,Li2SnCl2BrI,Li,Li,Sn,Br,I,Cl,Cl
42,Li2SnCl2IF,Li,Li,Sn,I,F,Cl,Cl
43,Li2SnBr2IF,Li,Li,Sn,I,F,Br,Br
44,Li2SnF2ICl,Li,Li,Sn,I,Cl,F,F
45,Li2SnBr2ICl,Li,Li,Sn,I,Cl,Br,Br
46,Li2SnF2IBr,Li,Li,Sn,I,Br,F,F
47,Li2SnCl2IBr,Li,Li,Sn,I,Br,Cl,Cl
48,Li2PbBr2FCl,Li,Li,Pb,F,Cl,Br,Br
49,Li2PbI2FCl,Li,Li,Pb,F,Cl,I,I
50,Li2PbCl2FBr,Li,Li,Pb,F,Br,Cl,Cl
51,Li2PbI2FBr,Li,Li,Pb,F,Br,I,I
52,Li2PbCl2FI,Li,Li,Pb,F,I,Cl,Cl
53,Li2PbBr2FI,Li,Li,Pb,F,I,Br,Br
54,Li2PbBr2ClF,Li,Li,Pb,Cl,F,Br,Br
55,Li2PbI2ClF,Li,Li,Pb,Cl,F,I,I
56,Li2PbF2ClBr,Li,Li,Pb,Cl,Br,F,F
57,Li2PbI2ClBr,Li,Li,Pb,Cl,Br,I,I
58,Li2PbF2ClI,Li,Li,Pb,Cl,I,F,F
59,Li2PbBr2ClI,Li,Li,Pb,Cl,I,Br,Br
60,Li2PbCl2BrF,Li,Li,Pb,Br,F,Cl,Cl
61,Li2PbI2BrF,Li,Li,Pb,Br,F,I,I
62,Li2PbF2BrCl,Li,Li,Pb,Br,Cl,F,F
63,Li2PbI2BrCl,Li,Li,Pb,Br,Cl,I,I
64,Li2PbF2BrI,Li,Li,Pb,Br,I,F,F
65,Li2PbCl2BrI,Li,Li,Pb,Br,I,Cl,Cl
66,Li2PbCl2IF,Li,Li,Pb,I,F,Cl,Cl
67,Li2PbBr2IF,Li,Li,Pb,I,F,Br,Br
68,Li2PbF2ICl,Li,Li,Pb,I,Cl,F,F
69,Li2PbBr2ICl,Li,Li,Pb,I,Cl,Br,Br
70,Li2PbF2IBr,Li,Li,Pb,I,Br,F,F
71,Li2PbCl2IBr,Li,Li,Pb,I,Br,Cl,Cl
72,Li2BaBr2FCl,Li,Li,Ba,F,Cl,Br,Br
73,Li2BaI2FCl,Li,Li,Ba,F,Cl,I,I
74,Li2BaCl2FBr,Li,Li,Ba,F,Br,Cl,Cl
75,Li2BaI2FBr,Li,Li,Ba,F,Br,I,I
76,Li2BaCl2FI,Li,Li,Ba,F,I,Cl,Cl
77,Li2BaBr2FI,Li,Li,Ba,F,I,Br,Br
78,Li2BaBr2ClF,Li,Li,Ba,Cl,F,Br,Br
79,Li2BaI2ClF,Li,Li,Ba,Cl,F,I,I
80,Li2BaF2ClBr,Li,Li,Ba,Cl,Br,F,F
81,Li2BaI2ClBr,Li,Li,Ba,Cl,Br,I,I
82,Li2BaF2ClI,Li,Li,Ba,Cl,I,F,F
83,Li2BaBr2ClI,Li,Li,Ba,Cl,I,Br,Br
84,Li2BaCl2BrF,Li,Li,Ba,Br,F,Cl,Cl
85,Li2BaI2BrF,Li,Li,Ba,Br,F,I,I
86,Li2BaF2BrCl,Li,Li,Ba,Br,Cl,F,F
87,Li2BaI2BrCl,Li,Li,Ba,Br,Cl,I,I
88,Li2BaF2BrI,Li,Li,Ba,Br,I,F,F
89,Li2BaCl2BrI,Li,Li,Ba,Br,I,Cl,Cl
90,Li2BaCl2IF,Li,Li,Ba,I,F,Cl,Cl
91,Li2BaBr2IF,Li,Li,Ba,I,F,Br,Br
92,Li2BaF2ICl,Li,Li,Ba,I,Cl,F,F
93,Li2BaBr2ICl,Li,Li,Ba,I,Cl,Br,Br
94,Li2BaF2IBr,Li,Li,Ba,I,Br,F,F
95,Li2BaCl2IBr,Li,Li,Ba,I,Br,Cl,Cl
96,Li2ZnBr2FCl,Li,Li,Zn,F,Cl,Br,Br
97,Li2ZnI2FCl,Li,Li,Zn,F,Cl,I,I
98,Li2ZnCl2FBr,Li,Li,Zn,F,Br,Cl,Cl
99,Li2ZnI2FBr,Li,Li,Zn,F,Br,I,I
100,Li2ZnCl2FI,Li,Li,Zn,F,I,Cl,Cl
101,Li2ZnBr2FI,Li,Li,Zn,F,I,Br,Br
102,Li2ZnBr2ClF,Li,Li,Zn,Cl,F,Br,Br
103,Li2ZnI2ClF,Li,Li,Zn,Cl,F,I,I
104,Li2ZnF2ClBr,Li,Li,Zn,Cl,Br,F,F
105,Li2ZnI2ClBr,Li,Li,Zn,Cl,Br,I,I
106,Li2ZnF2ClI,Li,Li,Zn,Cl,I,F,F
107,Li2ZnBr2ClI,Li,Li,Zn,Cl,I,Br,Br
108,Li2ZnCl2BrF,Li,Li,Zn,Br,F,Cl,Cl
109,Li2ZnI2BrF,Li,Li,Zn,Br,F,I,I
110,Li2ZnF2BrCl,Li,Li,Zn,Br,Cl,F,F
111,Li2ZnI2BrCl,Li,Li,Zn,Br,Cl,I,I
112,Li2ZnF2BrI,Li,Li,Zn,Br,I,F,F
113,Li2ZnCl2BrI,Li,Li,Zn,Br,I,Cl,Cl
114,Li2ZnCl2IF,Li,Li,Zn,I,F,Cl,Cl
115,Li2ZnBr2IF,Li,Li,Zn,I,F,Br,Br
116,Li2ZnF2ICl,Li,Li,Zn,I,Cl,F,F
117,Li2ZnBr2ICl,Li,Li,Zn,I,Cl,Br,Br
118,Li2ZnF2IBr,Li,Li,Zn,I,Br,F,F
119,Li2ZnCl2IBr,Li,Li,Zn,I,Br,Cl,Cl
120,Li2CaBr2FCl,Li,Li,Ca,F,Cl,Br,Br
121,Li2CaI2FCl,Li,Li,Ca,F,Cl,I,I
122,Li2CaCl2FBr,Li,Li,Ca,F,Br,Cl,Cl
123,Li2CaI2FBr,Li,Li,Ca,F,Br,I,I
124,Li2CaCl2FI,Li,Li,Ca,F,I,Cl,Cl
125,Li2CaBr2FI,Li,Li,Ca,F,I,Br,Br
126,Li2CaBr2ClF,Li,Li,Ca,Cl,F,Br,Br
127,Li2CaI2ClF,Li,Li,Ca,Cl,F,I,I
128,Li2CaF2ClBr,Li,Li,Ca,Cl,Br,F,F
129,Li2CaI2ClBr,Li,Li,Ca,Cl,Br,I,I
130,Li2CaF2ClI,Li,Li,Ca,Cl,I,F,F
131,Li2CaBr2ClI,Li,Li,Ca,Cl,I,Br,Br
132,Li2CaCl2BrF,Li,Li,Ca,Br,F,Cl,Cl
133,Li2CaI2BrF,Li,Li,Ca,Br,F,I,I
134,Li2CaF2BrCl,Li,Li,Ca,Br,Cl,F,F
135,Li2CaI2BrCl,Li,Li,Ca,Br,Cl,I,I
136,Li2CaF2BrI,Li,Li,Ca,Br,I,F,F
137,Li2CaCl2BrI,Li,Li,Ca,Br,I,Cl,Cl
138,Li2CaCl2IF,Li,Li,Ca,I,F,Cl,Cl
139,Li2CaBr2IF,Li,Li,Ca,I,F,Br,Br
140,Li2CaF2ICl,Li,Li,Ca,I,Cl,F,F
141,Li2CaBr2ICl,Li,Li,Ca,I,Cl,Br,Br
142,Li2CaF2IBr,Li,Li,Ca,I,Br,F,F
143,Li2CaCl2IBr,Li,Li,Ca,I,Br,Cl,Cl
144,Li2CdBr2FCl,Li,Li,Cd,F,Cl,Br,Br
145,Li2CdI2FCl,Li,Li,Cd,F,Cl,I,I
146,Li2CdCl2FBr,Li,Li,Cd,F,Br,Cl,Cl
147,Li2CdI2FBr,Li,Li,Cd,F,Br,I,I
148,Li2CdCl2FI,Li,Li,Cd,F,I,Cl,Cl
149,Li2CdBr2FI,Li,Li,Cd,F,I,Br,Br
150,Li2CdBr2ClF,Li,Li,Cd,Cl,F,Br,Br
151,Li2CdI2ClF,Li,Li,Cd,Cl,F,I,I
152,Li2CdF2ClBr,Li,Li,Cd,Cl,Br,F,F
153,Li2CdI2ClBr,Li,Li,Cd,Cl,Br,I,I
154,Li2CdF2ClI,Li,Li,Cd,Cl,I,F,F
155,Li2CdBr2ClI,Li,Li,Cd,Cl,I,Br,Br
156,Li2CdCl2BrF,Li,Li,Cd,Br,F,Cl,Cl
157,Li2CdI2BrF,Li,Li,Cd,Br,F,I,I
158,Li2CdF2BrCl,Li,Li,Cd,Br,Cl,F,F
159,Li2CdI2BrCl,Li,Li,Cd,Br,Cl,I,I
160,Li2CdF2BrI,Li,Li,Cd,Br,I,F,F
161,Li2CdCl2BrI,Li,Li,Cd,Br,I,Cl,Cl
162,Li2CdCl2IF,Li,Li,Cd,I,F,Cl,Cl
163,Li2CdBr2IF,Li,Li,Cd,I,F,Br,Br
164,Li2CdF2ICl,Li,Li,Cd,I,Cl,F,F
165,Li2CdBr2ICl,Li,Li,Cd,I,Cl,Br,Br
166,Li2CdF2IBr,Li,Li,Cd,I,Br,F,F
167,Li2CdCl2IBr,Li,Li,Cd,I,Br,Cl,Cl
168,Li2CoBr2FCl,Li,Li,Co,F,Cl,Br,Br
169,Li2CoI2FCl,Li,Li,Co,F,Cl,I,I
170,Li2CoCl2FBr,Li,Li,Co,F,Br,Cl,Cl
171,Li2CoI2FBr,Li,Li,Co,F,Br,I,I
172,Li2CoCl2FI,Li,Li,Co,F,I,Cl,Cl
173,Li2CoBr2FI,Li,Li,Co,F,I,Br,Br
174,Li2CoBr2ClF,Li,Li,Co,Cl,F,Br,Br
175,Li2CoI2ClF,Li,Li,Co,Cl,F,I,I
176,Li2CoF2ClBr,Li,Li,Co,Cl,Br,F,F
177,Li2CoI2ClBr,Li,Li,Co,Cl,Br,I,I
178,Li2CoF2ClI,Li,Li,Co,Cl,I,F,F
